"id","name"
"234","Abu Dhabi"
"162","Abuja"
"85","Accra"
"177","Adamstown"
"72","Addis Ababa"
"4","Algiers"
"163","Alofi"
"115","Amman"
"157","Amsterdam"
"6","Andorra la Vella"
"228","Ankara"
"133","Antananarivo"
"193","Apia"
"229","Ashgabat"
"69","Asmara"
"174","Asunción"
"87","Athens"
"53","Avarua"
"107","Baghdad"
"16","Baku"
"137","Bamako"
"34","Bandar Seri Begawan"
"221","Bangkok"
"43","Bangui"
"82","Banjul"
"90","Basse-Terre"
"188","Basseterre"
"46","Beijing"
"125","Beirut"
"198","Belgrade"
"23","Belmopan"
"84","Berlin"
"216","Bern"
"122","Bishkek"
"95","Bissau"
"49","Bogotá"
"32","Brasília"
"203","Bratislava"
"51","Brazzaville"
"20","Bridgetown"
"22","Brussels"
"183","Bucharest"
"102","Budapest"
"11","Buenos Aires"
"66","Cairo"
"14","Canberra"
"241","Caracas"
"189","Castries"
"78","Cayenne"
"244","Charlotte Amalie"
"146","Chișinău"
"230","Cockburn Town"
"211","Colombo"
"94","Conakry"
"61","Copenhagen"
"197","Dakar"
"217","Damascus"
"19","Dhaka"
"33","Diego Garcia"
"222","Dili"
"62","Djibouti City"
"220","Dodoma"
"181","Doha"
"109","Douglas"
"108","Dublin"
"219","Dushanbe"
"246","El Aaiún"
"47","Flying Fish Cove"
"140","Fort-de-France"
"200","Freetown"
"231","Funafuti"
"30","Gaborone"
"42","George Town"
"96","Georgetown"
"86","Gibraltar"
"37","Gitega"
"92","Guatemala City"
"186","Gustavia"
"91","Hagåtña"
"25","Hamilton"
"242","Hanoi"
"249","Harare"
"57","Havana"
"76","Helsinki"
"101","Hong Kong"
"205","Honiara"
"169","Islamabad"
"105","Jakarta"
"187","Jamestown"
"110","Jerusalem"
"209","Juba"
"1","Kabul"
"232","Kampala"
"156","Kathmandu"
"212","Khartoum"
"185","Kigali"
"208","King Edward Point"
"112","Kingston"
"192","Kingstown"
"52","Kinshasa"
"28","Kralendijk"
"135","Kuala Lumpur"
"121","Kuwait City"
"233","Kyiv"
"81","Libreville"
"134","Lilongwe"
"175","Lima"
"179","Lisbon"
"204","Ljubljana"
"223","Lomé"
"235","London"
"214","Longyearbyen"
"7","Luanda"
"248","Lusaka"
"131","Luxembourg City"
"210","Madrid"
"139","Majuro"
"68","Malabo"
"136","Malé"
"143","Mamoudzou"
"160","Managua"
"18","Manama"
"176","Manila"
"152","Maputo"
"2","Mariehamn"
"190","Marigot"
"126","Maseru"
"245","Mata-Utu"
"71","Mbabane"
"144","Mexico City"
"21","Minsk"
"206","Mogadishu"
"147","Monaco"
"127","Monrovia"
"238","Montevideo"
"50","Moroni"
"184","Moscow"
"168","Muscat"
"44","N'Djamena"
"98","N/A (No capital city in Heard Island and McDonald Islands)"
"224","N/A (No capital city in Tokelau)"
"237","N/A (No capital city in United States Minor Outlying Islands)"
"9","N/A (There is no capital city in Antarctica)"
"31","N/A (There is no capital city in Bouvet Island)"
"132","N/A (There is no capital city in Macao)"
"164","N/A (There is no capital city in Norfolk Island)"
"117","Nairobi"
"17","Nassau"
"153","Naypyidaw"
"104","New Delhi"
"170","Ngerulmud"
"161","Niamey"
"59","Nicosia"
"80","None (No capital city in French Southern Territories)"
"141","Nouakchott"
"158","Nouméa"
"225","Nuku'alofa"
"116","Nur-Sultan"
"88","Nuuk"
"13","Oranjestad"
"167","Oslo"
"41","Ottawa"
"36","Ouagadougou"
"5","Pago Pago"
"145","Palikir"
"172","Panama City"
"79","Papeete"
"213","Paramaribo"
"77","Paris"
"202","Philipsburg"
"39","Phnom Penh"
"150","Plymouth"
"149","Podgorica"
"142","Port Louis"
"173","Port Moresby"
"226","Port of Spain"
"240","Port Vila"
"97","Port-au-Prince"
"24","Porto-Novo"
"60","Prague"
"38","Praia"
"207","Pretoria, Bloemfontein, Cape Town (executive, judicial, legislative capitals)"
"119","Pyongyang"
"65","Quito"
"151","Rabat"
"171","Ramallah"
"103","Reykjavík"
"124","Riga"
"196","Riyadh"
"243","Road Town"
"111","Rome"
"63","Roseau"
"114","Saint Helier"
"10","Saint John's"
"182","Saint-Denis"
"191","Saint-Pierre"
"166","Saipan"
"54","San José"
"180","San Juan"
"194","San Marino"
"67","San Salvador"
"247","Sana'a"
"45","Santiago"
"64","Santo Domingo"
"195","São Tomé"
"29","Sarajevo"
"120","Seoul"
"201","Singapore"
"165","Skopje"
"35","Sofia"
"118","South Tarawa"
"89","St. George's"
"93","St. Peter Port"
"73","Stanley"
"215","Stockholm"
"27","Sucre"
"75","Suva"
"218","Taipei"
"70","Tallinn"
"239","Tashkent"
"83","Tbilisi"
"100","Tegucigalpa"
"106","Tehran"
"8","The Valley"
"26","Thimphu"
"3","Tirana"
"113","Tokyo"
"74","Tórshavn"
"128","Tripoli"
"227","Tunis"
"148","Ulaanbaatar"
"129","Vaduz"
"138","Valletta"
"99","Vatican City"
"199","Victoria"
"15","Vienna"
"123","Vientiane"
"130","Vilnius"
"178","Warsaw"
"236","Washington, D.C."
"159","Wellington"
"48","West Island"
"58","Willemstad"
"154","Windhoek"
"55","Yamoussoukro"
"40","Yaoundé"
"155","Yaren"
"12","Yerevan"
"56","Zagreb"
